antibody_id,cdr_pc_1,cdr_pc_2,cdr_pc_3,cdr_pc_4,cdr_pc_5,cdr_pc_6,cdr_pc_7,cdr_pc_8,cdr_pc_9,cdr_pc_10,cdr_pc_11,cdr_pc_12,cdr_pc_13,cdr_pc_14,cdr_pc_15,cdr_pc_16,cdr_pc_17,cdr_pc_18,cdr_pc_19,cdr_pc_20,mi_5_10,mi_5_15,mi_10_15,mi_20_25,mi_20_30,mi_25_30,isotype_confidence,is_IgG,is_IgA,is_IgM,is_IgE,is_IgD,l1_Y_count,vl_hydrophobic_core_count,l3_K_count,l1_L_count,vl_entropy_normalized,vh_aa_diversity,vh_hydrophobic_core_count,vh_charge_separation,vl_turn_formers_count,vl_surface_curvature_std,vl_hydrophobic_density,vl_thermostable_DY_count,vl_surface_curvature_min,vl_surface_curvature_max,vh_helix_breakers_propensity,vl_thermal_motif_ratio,vh_sequence_entropy,vl_max_hydrophobic_patch,vl_hydrophobic_clustering,vh_hydrophobic_risk,vh_motif_risk,vl_surface_curvature_mean,vl_thermostable_YY_count,vl_helix_breakers_count,combined_net_charge,vh_vl_charge_balance,vh_hydrophobic_ratio,vh_entropy_normalized,vh_stabilizing_WGKG_count,vh_thermolabile_GG_count,vl_hydrophobic_surface_area,vl_hydrophobic_ratio,vh_thermostable_WG_count,vl_thermal_stability_range,vl_electrostatic_risk,vl_sheet_breakers_count,vh_high_curvature_regions,vh_entropy_variation,full_charge_clusters_density,vh_turn_formers_propensity,vl_sequence_entropy,vh_sheet_breakers_propensity,vh_cysteine_count,vl_sheet_formers_count,vh_negative_charge_count,vh_thermolabile_NG_count,vl_hydrophobic_risk,vl_patch_risk,vh_thermal_stability_std,vl_thermal_stability_sum,l3_R_count,vh_thermal_stability_range,vl_thermal_stability_std,l3_L_count,full_charge_clusters_count
GDPa1-011,1.4470439109888222,0.6620977548985472,-1.6667285802463714,0.5235949241002876,1.4894745705206989,-1.0411564071608979,-0.612575866230872,-0.2569749587863904,0.8410517955651504,0.06589279752623282,-0.9157817083755804,0.07490522821629611,1.8170490218677824,0.15593540313946191,-1.5472159459818429,-1.7123004439353948,0.19100491154530072,-1.6107114708371013,-0.9770872095754551,0.1684501742242272,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,0.0,49.0,2.0,4.1,1.0,1.0,2.0,7.0,1.5,2.0,80.0,8.0,7.0,9.0,76.12612612612612,1.0,11.0,9.0,3.5,-11.1,-1.5,30.0,30.0,20.0,20.0,20.0,-14.3,20.0,20.0,20.0,2.0,29.0,68.0,38.0,53.0,36.42424242424242,22.0,0.5,41.0,37.0,37.0,53.0,47.0,36.10714285714285,44.0,30.0,37.0,74.0,68.0,104.6,74.0,68.0,111.9,216.5
GDPa1-012,-1.7078929529380271,1.94210225062634,-0.7899701900770847,0.5871203744160383,0.0081827522800934,0.6968602477127506,1.5420588779951294,-0.20901145028064072,2.2720024280030637,0.5547107910116371,0.7077718521091713,0.1734755492586334,-0.3209336043925181,0.1620180435364472,0.5389616221987606,-0.25801519250591953,-0.40799104334310304,0.01927639832247318,1.0244886703948122,-0.5365323986134762,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,0.0,1.0,48.0,3.0,3.888888888888889,3.0,0.0,3.0,7.0,0.0,0.5,81.45299145299145,9.0,9.0,8.0,79.44444444444444,3.0,12.0,11.0,0.5,-6.6,0.0,33.0,33.0,16.0,16.0,16.0,-7.300000000000002,16.0,16.0,16.0,0.5,30.0,66.0,40.0,52.0,41.15151515151515,30.0,0.5,35.0,39.0,39.0,52.0,36.0,37.83950617283951,32.0,30.0,32.0,74.0,66.0,111.0,74.0,66.0,124.4,235.4
GDPa1-013,1.8385621715989915,-2.138768496248755,0.5612876362571785,2.428214817135233,1.0934159399238796,-0.7633407696785517,-0.26876874337507745,-0.31682532657313495,1.3537849177015693,-0.15855370733224017,0.9502780737016575,1.1305682107034198,-0.3219725193178023,-0.8024973782573627,0.020387975980336873,-0.12633813251105985,-0.5586727515699055,0.5005974633918447,-1.0446602560204974,-0.7597293727527197,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,-1.0,49.0,1.0,5.714285714285714,0.8,3.0,5.0,8.0,0.5,1.0,80.50847457627118,11.0,11.0,6.0,78.10810810810811,0.0,9.0,8.0,1.5,-5.1,-0.5,30.0,30.0,18.0,18.0,18.0,-13.000000000000004,16.0,16.0,16.0,1.0,30.0,69.0,41.0,58.0,34.25,28.0,0.5,40.0,42.0,42.0,47.0,39.0,39.603305785123965,36.0,28.0,37.0,73.0,69.0,99.1,73.0,69.0,130.1,229.2
GDPa1-014,2.7931725376812775,-0.18413053117659506,-1.0727704449458113,-0.0064032704663383845,0.9876364636039544,-0.473458573782471,3.7487459672690044,0.3996997907057204,-1.4552865351732343,0.7520212712591476,0.9646280461887757,2.0701943687684436,0.7350060929837827,-0.6355070048078681,-0.42821480553939784,-0.14270817492802296,-0.043370956152837384,0.7266730434204369,0.22355068108150192,0.6700794999169696,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,47.0,1.0,3.5454545454545454,0.8,4.0,3.0,7.0,1.5,1.0,82.3728813559322,7.0,9.0,10.0,79.90654205607476,0.0,11.0,9.0,0.5,-6.9,1.5,33.0,33.0,19.0,19.0,19.0,-5.7,14.0,14.0,14.0,1.0,32.0,65.0,38.0,51.0,37.48484848484848,28.0,2.5,39.0,41.0,41.0,49.0,34.0,40.523809523809526,30.0,30.0,35.0,74.0,65.0,109.6,74.0,65.0,117.8,227.4
GDPa1-015,1.3246898673487444,0.33994997708313934,-1.6214233342569337,2.270626079760416,2.1671157093268225,-0.1308709817471311,0.9579118548762782,-0.13048915106166023,2.2844768302733316,-0.20187232427860638,-1.2570753861607338,-0.9536652435107513,-0.10679385063504455,-1.2501798590364295,0.4557531786774681,-0.7292024127119737,-0.8026773844339252,-0.16712894875836756,-0.9860440013871784,0.5228657949195227,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,49.0,2.0,6.0,0.6,3.0,3.0,6.0,1.5,2.0,80.33333333333333,6.0,8.0,6.0,74.18181818181819,-1.0,10.0,8.0,0.5,-4.1000000000000005,1.5,27.0,27.0,17.0,17.0,17.0,-13.4,17.0,17.0,17.0,2.0,28.0,68.0,43.0,57.0,36.4,22.0,3.5,42.0,43.0,43.0,51.0,49.0,28.25,43.0,26.0,34.0,74.0,68.0,93.9,74.0,68.0,140.8,234.7
GDPa1-016,-4.183889320656042,0.24374614848895404,1.1609840965248726,0.44024128793594536,0.9245016465599329,-3.001848466136649,1.8176114302738196,-0.6306670911307106,0.9522174517953091,-0.14510263985531474,0.4835758968503538,0.3593498246415599,-0.16955054816772627,-0.426937945643469,0.6945077512971108,1.433960900145953,0.7411077914281976,1.2796487472357365,-0.1707534940846792,1.1495831627239497,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,0.0,1.0,49.0,2.0,7.5,0.6666666666666666,3.0,3.0,10.0,0.5,2.5,76.72268907563026,11.0,12.0,5.0,80.89285714285714,-1.0,12.0,9.0,2.0,-10.7,0.5,33.0,33.0,18.0,18.0,18.0,-11.5,19.0,19.0,19.0,2.5,35.0,70.0,38.0,54.0,35.675925925925924,25.0,3.0,45.0,35.0,35.0,55.0,35.0,36.621212121212125,35.0,27.0,40.0,74.0,70.0,119.3,74.0,70.0,112.8,232.1
GDPa1-017,-0.4395184587182611,2.2300178356470983,4.9151138822455405,-0.7175871454162744,-4.101097138905623,0.5917885341670683,0.3966474435137834,-0.3983359993998748,0.8752133505433087,-0.02831310343222159,-2.1195036045249327,-0.21609973259398332,1.2705284747609467,-0.8240313482079079,-2.307704453963493,0.46941051433866093,-1.709657176927171,0.08344242515034339,-0.7428806455829655,1.2604782567965078,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,1.0,0.0,47.0,3.0,4.75,4.0,0.0,5.0,7.0,4.5,3.0,79.40170940170941,6.0,11.0,7.0,76.73076923076923,4.0,12.0,8.0,1.5,-6.699999999999999,4.5,27.0,27.0,14.0,14.0,14.0,-10.4,14.0,14.0,14.0,3.0,26.0,64.0,37.0,54.0,37.875,29.0,7.5,38.0,36.0,36.0,55.0,40.0,33.56060606060606,35.0,33.0,31.0,74.0,64.0,79.1,74.0,64.0,103.4,182.5
GDPa1-018,1.278794197477257,0.4188111022788707,3.2213106895665202,-2.2861290883039875,1.4230708105415164,-1.2183754089267416,0.5424449729200294,0.0963591004206067,0.4819868464027543,0.6590038613315624,0.8948672630761108,-1.9858401786000492,-0.08393051894176669,-1.0107442139215996,0.6564594549527762,-0.4564665129884102,-1.1967628096529965,0.4644621918913536,-2.0760596666877453,0.5714521024738066,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,1.0,3.0,47.0,0.0,5.125,2.0,1.0,5.0,6.0,2.0,2.5,77.66666666666666,11.0,9.0,7.0,77.28971962616822,3.0,14.0,10.0,4.5,-11.0,-2.0,30.0,30.0,16.0,16.0,16.0,-10.3,14.0,14.0,14.0,2.5,31.0,65.0,38.0,56.0,36.82857142857143,23.0,0.5,41.0,33.0,33.0,58.0,39.0,35.43434343434343,37.0,31.0,35.0,74.0,65.0,107.4,74.0,65.0,101.4,208.8
GDPa1-019,2.649855440568446,0.33691130806976005,-0.8963967474256896,0.35393838340117845,1.2154442123511304,-0.41841380935803857,-0.7516566411353665,-0.6203659406689583,0.8301081816879788,-0.06205864184494647,-0.5104148801573037,-0.7733277019955743,-1.5448818629712366,-1.0880690163101456,0.3163123838580161,-0.301804799930718,0.20320029589437555,0.3285063503136775,0.2482536279292482,0.48334020789989135,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,2.0,47.0,1.0,5.714285714285714,1.0,1.0,4.0,8.0,2.5,3.0,78.59504132231405,7.0,10.0,6.0,78.41121495327103,1.0,14.0,10.0,0.5,-9.400000000000002,2.5,29.0,29.0,15.0,15.0,15.0,-8.9,14.0,14.0,14.0,3.0,32.0,65.0,37.0,55.0,39.871428571428574,25.0,5.5,40.0,37.0,37.0,58.0,37.0,39.92857142857143,33.0,34.0,32.0,74.0,65.0,99.1,74.0,65.0,110.5,209.6
GDPa1-020,-1.3186495230960702,0.8425756342157553,-1.8435500309899266,1.4364383599991335,-0.11329013710931177,1.3098748532012656,-0.8141893591777962,1.3935750660846071,-1.6596518312039579,-0.8544694493300513,-0.25474305216276516,-1.9537564915167953,0.5987779806688737,-0.500457944936868,-1.5510034608133942,-0.21864715645662414,-1.297773821772398,-0.49431862706578056,2.1243245600101033,1.167788547147571,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,0.0,2.0,47.0,2.0,4.555555555555555,0.6666666666666666,2.0,3.0,7.0,2.5,4.0,81.21951219512195,10.0,8.0,8.0,77.5925925925926,0.0,13.0,8.0,6.5,-9.500000000000004,-2.5,30.0,30.0,18.0,18.0,18.0,-12.6,17.0,17.0,17.0,4.0,28.0,65.0,35.0,53.0,39.16346153846154,27.0,1.5,41.0,43.0,43.0,57.0,40.0,37.15,37.0,37.0,38.0,74.0,65.0,98.7,74.0,65.0,129.8,228.5
GDPa1-021,1.4248427682976714,-1.2013791696464315,1.219605504547532,1.3647000291251299,-0.90040339864666,0.8812557411464114,-0.6246638367602014,-1.5638608814014157,0.8531482483919652,-0.9027263035804545,-0.2380122775256916,0.8361322991167396,-2.4413158944872717,0.7892778699277645,1.3086242017719785,-0.6498120581552551,-0.6379918740563145,0.37379221242834304,1.383012942113834,-0.036196472169855484,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,46.0,1.0,5.571428571428571,0.6666666666666666,0.0,2.0,7.0,2.5,1.5,78.59649122807018,7.0,10.0,6.0,77.28971962616822,0.0,11.0,9.0,1.0,-7.900000000000001,2.5,28.0,28.0,14.0,14.0,14.0,-9.7,15.0,15.0,15.0,1.5,29.0,65.0,34.0,55.0,36.42424242424242,27.0,4.0,39.0,35.0,35.0,55.0,38.0,39.31428571428572,32.0,31.0,32.0,74.0,65.0,95.9,74.0,65.0,110.5,206.4
GDPa1-022,2.970905181230355,-1.8312407733982334,1.8829890471183508,0.9322325981811697,3.754795746147877,-1.9158259699702285,-2.093889596652341,-0.2350360788526776,-2.6395832091683316,-0.2096715503837269,0.09090462342711135,-0.7310960261911709,0.06277343055977272,-1.916792438446657,0.9975976210571046,-0.23020941097777817,-0.07683884824928083,-0.3784747301667779,-0.13843441237726894,-0.008888243671770275,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,47.0,0.0,5.714285714285714,3.0,0.0,2.0,7.0,0.5,4.5,78.26446280991735,8.0,9.0,6.0,77.28971962616822,3.0,15.0,10.0,4.0,-8.300000000000002,0.5,28.0,28.0,17.0,17.0,17.0,-9.900000000000002,16.0,16.0,16.0,4.5,32.0,65.0,41.0,54.0,39.02,24.0,5.0,40.0,36.0,36.0,56.0,38.0,38.263888888888886,32.0,31.0,33.0,74.0,65.0,102.2,74.0,65.0,122.2,224.4
GDPa1-023,2.721596934098594,0.89310565094092,-0.32421983525231085,0.22728879453403886,0.8580666246063049,-1.6368728680044902,1.4189931256004695,0.5745372778067857,-0.9614550320701187,-0.1479423287590532,-0.17481474727640703,0.18867946444297404,-0.01902457783248029,-0.17487859972853967,-0.6093685045396944,-0.7404997911486014,0.7583130110652908,1.3284228981980182,0.22012061713832898,0.02796324190020155,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,2.0,1.0,47.0,1.0,4.1,1.0,2.0,5.0,8.0,0.5,1.0,80.73170731707317,7.0,8.0,9.0,78.41121495327103,1.0,11.0,9.0,0.5,-6.199999999999999,0.5,30.0,30.0,18.0,18.0,18.0,-8.300000000000002,14.0,14.0,14.0,1.0,32.0,65.0,42.0,55.0,36.474747474747474,23.0,1.5,41.0,40.0,40.0,52.0,39.0,39.60714285714285,34.0,30.0,34.0,74.0,65.0,103.1,74.0,65.0,115.5,218.6
GDPa1-024,-1.1326068590753737,3.6965464678251667,-1.5741118772898557,-0.49065710798915274,1.2699353622243503,-0.9594133167270718,1.7440720457572874,0.5296247617232951,-1.0833468873923533,0.8331154209556324,-1.0555286676370674,1.6601930098132505,1.162005949834514,0.33217198472564846,-0.15854246902388883,-0.46761937441191503,-1.2467971578936121,-1.0883934210444528,0.7227244177537524,-1.201758977724842,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0,0,0,1,0,0.0,1.0,48.0,3.0,4.1,3.0,0.0,3.0,8.0,1.0,4.0,80.7563025210084,8.0,9.0,9.0,78.88888888888889,3.0,12.0,8.0,3.0,-8.300000000000002,1.0,31.0,31.0,16.0,16.0,16.0,-8.9,17.0,17.0,17.0,4.0,30.0,66.0,39.0,52.0,40.708333333333336,29.0,5.0,41.0,39.0,39.0,55.0,38.0,37.65277777777778,34.0,30.0,37.0,74.0,66.0,102.3,74.0,66.0,111.5,213.8
