antibody_id,combined_hydrophobic_area,vh_hydrophobic_surface_area,vl_min_cys_spacing,vh_min_cys_spacing,vl_hydrophobic_surface_area,vl_avg_cys_spacing,vh_avg_cys_spacing,vh_turn_formers_count,vh_helix_formers_count,vl_turn_formers_count,vl_charge_separation,vl_flexible_residues_count,vh_surface_polar_count,vh_core_size,vh_hydrophobic_core_count,vh_flexible_residues_count,combined_net_charge,vl_helix_formers_count,vh_charge_separation,vl_surface_polar_count,vh_sheet_formers_count,vl_max_cys_spacing,vl_sheet_formers_count,cdr_total_net_charge,vh_net_charge,vl_sheet_breakers_count,vl_helix_breakers_count,vl_high_curvature_regions,vl_thermal_stability_sum,vh_high_curvature_regions,vh_sheet_breakers_count,vh_helix_breakers_count,vl_hydrophobic_core_count,vl_core_size,vl_net_charge,vh_thermal_stability_sum,vh_vl_charge_balance,vh_negative_charge_count,cdr_negative_charge_total,vh_positive_charge_count,vh_thermal_motif_balance,cdr_heavy_vs_light_charge_gap,vl_estimated_tm_contribution,vh_rigid_residues_count,vl_positive_charge_count,vl_negative_charge_count,cdr_positive_charge_total,vh_estimated_tm_contribution,vh_absolute_charge,vl_absolute_charge,cdr_h3_net_charge,vl_rigid_residues_count,cdr_charge_symmetry_ratio,cdr_l2_hydrophobicity_mean,full_aromatic_stacking_count,vh_thermolabile_GG_count,cdr_h2_net_charge,vh_thermal_motif_ratio,vh_flexibility_ratio,cdr_l1_net_charge,cdr_h3_negative_charge_count,vl_thermal_motif_balance,cdr_l2_net_charge,vl_aa_diversity,cdr_h2_negative_charge_count,vh_vhh_vhh_stable_YY,vh_thermostable_YY_count,cdr_l3_hydrophobicity_mean,cdr_h2_hydrophobicity_mean,vl_flexibility_ratio,vh_vhh_vhh_stable_DY,vh_thermostable_DY_count,cdr_h3_positive_charge_count,vh_max_cys_spacing,cdr_l3_net_charge,cdr_l1_negative_charge_count,cdr_h1_net_charge,cdr_l2_positive_charge_count,vh_max_hydrophobic_patch,cdr_max_hydrophobicity_mean,cdr_h2_positive_charge_count,vl_thermolabile_GG_count,vl_thermal_motif_ratio,cdr_l1_hydrophobicity_mean,cdr_l2_negative_charge_count,cdr_min_hydrophobicity_mean,vh_aa_diversity,HIC_delta_G_ML,PR_CHO,AC-SINS_pH7.4_nmol/mg,Tm2_DSF_degC,Titer_g/L
GDPa1-011,216.5,111.9,68.0,74.0,104.6,68.0,74.0,37.0,30.0,44.0,36.10714285714285,47.0,53.0,37.0,37.0,41.0,0.5,22.0,36.42424242424242,53.0,38.0,68.0,29.0,-5.0,2.0,20.0,20.0,20.0,-14.3,20.0,20.0,20.0,30.0,30.0,-1.5,-11.1,3.5,9.0,6.0,11.0,1.0,1.0,76.12612612612612,9.0,7.0,8.0,1.0,80.0,2.0,1.5,-1.0,7.0,0.2,0.0,2.0,1.0,-1.0,1.0,4.1,-1.0,1.0,0.0,0.0,20.0,2.0,1.0,1.0,-0.5555555555555556,-1.3125,5.875,0.0,0.0,0.0,74.0,-2.0,1.0,0.0,0.0,2.0,0.0699999999999999,1.0,2.0,0.6666666666666666,-0.775,-0.0,-1.3125,18.0,2.81,0.166793484,19.0,82.96,261.98
GDPa1-012,235.4,124.4,66.0,74.0,111.0,66.0,74.0,32.0,30.0,32.0,37.83950617283951,36.0,52.0,39.0,39.0,35.0,0.5,30.0,41.15151515151515,52.0,40.0,66.0,30.0,-3.5,0.5,16.0,16.0,16.0,-7.300000000000002,16.0,16.0,16.0,33.0,33.0,0.0,-6.6,0.5,11.0,6.0,12.0,3.0,3.5,79.44444444444444,8.0,9.0,9.0,2.5,81.45299145299145,0.5,0.0,-1.5,7.0,1.0,-1.0,3.0,0.0,-2.0,3.0,3.888888888888889,0.0,3.0,1.0,1.0,17.0,2.0,1.0,1.0,-0.5111111111111111,-0.2624999999999999,4.5,1.0,1.0,1.5,74.0,-1.0,-0.0,0.0,1.0,2.0,0.5499999999999999,0.0,0.0,1.0,0.3875,-0.0,-1.1538461538461535,20.0,2.4800000000000004,,-0.875,83.41499999999999,92.11
GDPa1-013,229.2,130.1,69.0,73.0,99.1,69.0,73.0,37.0,28.0,36.0,39.603305785123965,39.0,47.0,42.0,42.0,40.0,0.5,28.0,34.25,58.0,41.0,69.0,30.0,-2.0,1.0,16.0,16.0,16.0,-13.000000000000004,18.0,18.0,18.0,30.0,30.0,-0.5,-5.1,1.5,8.0,4.0,9.0,0.0,0.0,78.10810810810811,6.0,11.0,11.0,2.0,80.50847457627118,1.0,0.5,-1.0,8.0,0.0,1.35,5.0,3.0,0.0,0.8,5.714285714285714,-1.0,1.0,-1.0,1.0,20.0,-0.0,3.0,3.0,-1.7333333333333334,-0.425,4.333333333333333,0.0,0.0,0.0,73.0,-1.0,2.0,0.0,1.0,3.0,1.35,0.0,1.0,0.3333333333333333,-1.5875,-0.0,-1.7333333333333334,19.0,2.7350000000000003,0.0,1.0,,301.96
GDPa1-014,227.4,117.8,65.0,74.0,109.6,65.0,74.0,35.0,30.0,30.0,40.523809523809526,34.0,49.0,41.0,41.0,39.0,2.5,28.0,37.48484848484848,51.0,38.0,65.0,32.0,-0.5,1.0,14.0,14.0,14.0,-5.7,19.0,19.0,19.0,33.0,33.0,1.5,-6.9,0.5,9.0,3.0,11.0,0.0,0.5,79.90654205607476,10.0,9.0,7.0,2.5,82.3728813559322,1.0,1.5,0.5,7.0,0.5,0.9166666666666666,3.0,4.0,0.0,0.8,3.5454545454545454,-1.0,1.0,1.0,0.0,19.0,-0.0,2.0,2.0,-1.0555555555555556,-0.1875,4.25,1.0,1.0,1.5,74.0,0.5,1.0,-0.5,0.0,3.0,0.9166666666666666,0.0,0.0,1.0,0.4375,-0.0,-1.4,20.0,3.755,0.0,8.5,85.575,319.37
GDPa1-015,234.7,140.8,68.0,74.0,93.9,68.0,74.0,34.0,26.0,43.0,28.25,49.0,51.0,43.0,43.0,42.0,3.5,22.0,36.4,57.0,43.0,68.0,28.0,-2.0,2.0,17.0,17.0,17.0,-13.4,17.0,17.0,17.0,27.0,27.0,1.5,-4.1000000000000005,0.5,8.0,3.0,10.0,-1.0,2.0,74.18181818181819,6.0,8.0,6.0,1.0,80.33333333333333,2.0,1.5,0.0,6.0,1.0,-0.0666666666666665,3.0,3.0,0.0,0.6,6.0,-1.0,1.0,1.0,-1.0,20.0,-0.0,1.0,1.0,-0.5333333333333333,0.475,7.0,1.0,1.0,1.0,74.0,0.0,1.0,0.0,0.0,3.0,0.99,0.0,1.0,1.0,-0.875,1.0,-0.875,19.0,3.115,0.060415292,2.625,83.34,359.69
GDPa1-016,232.1,112.8,70.0,74.0,119.3,70.0,74.0,40.0,27.0,35.0,36.621212121212125,35.0,55.0,35.0,35.0,45.0,3.0,25.0,35.675925925925924,54.0,38.0,70.0,35.0,-0.5,2.5,19.0,19.0,19.0,-11.5,18.0,18.0,18.0,33.0,33.0,0.5,-10.7,2.0,9.0,4.0,12.0,-1.0,1.5,80.89285714285714,5.0,12.0,11.0,3.5,76.72268907563026,2.5,0.5,-1.5,10.0,1.5,0.4666666666666666,3.0,3.0,2.0,0.6666666666666666,7.5,-2.0,2.0,1.0,1.0,20.0,-0.0,2.0,2.0,-0.1999999999999999,-0.9,3.1818181818181817,1.0,1.0,0.5,74.0,0.0,2.0,0.0,1.0,3.0,0.4666666666666666,2.0,0.0,1.0,-0.6124999999999999,-0.0,-1.669230769230769,20.0,2.46,,-0.875,85.13,168.63
GDPa1-017,182.5,103.4,64.0,74.0,79.1,64.0,74.0,31.0,33.0,35.0,33.56060606060606,40.0,55.0,36.0,36.0,38.0,7.5,29.0,37.875,54.0,37.0,64.0,26.0,1.5,3.0,14.0,14.0,14.0,-10.4,14.0,14.0,14.0,27.0,27.0,4.5,-6.699999999999999,1.5,8.0,3.0,12.0,4.0,4.5,76.73076923076923,7.0,11.0,6.0,4.5,79.40170940170941,3.0,4.5,-2.0,7.0,3.0,-0.1,5.0,0.0,-1.0,4.0,4.75,1.0,2.0,0.0,1.0,19.0,1.0,2.0,2.0,-1.0666666666666669,-0.9125,5.0,1.0,1.0,0.0,74.0,1.0,-0.0,1.5,1.0,3.0,-0.1,0.0,1.0,0.5,-1.3375,-0.0,-1.3375,20.0,2.635,,22.125,81.96,126.74
GDPa1-018,208.8,101.4,65.0,74.0,107.4,65.0,74.0,35.0,31.0,37.0,35.43434343434343,39.0,58.0,33.0,33.0,41.0,0.5,23.0,36.82857142857143,56.0,38.0,65.0,31.0,-4.5,2.5,14.0,14.0,14.0,-10.3,16.0,16.0,16.0,30.0,30.0,-2.0,-11.0,4.5,10.0,5.0,14.0,3.0,0.5,77.28971962616822,7.0,9.0,11.0,0.5,77.66666666666666,2.5,2.0,-0.5,6.0,0.1111111111111111,-0.0333333333333333,5.0,1.0,-2.0,2.0,5.125,-1.0,1.0,3.0,-1.0,19.0,2.0,3.0,3.0,-0.2555555555555556,-0.975,5.571428571428571,0.0,0.0,0.5,74.0,0.0,1.0,0.0,0.0,2.0,-0.0333333333333333,0.0,0.0,3.0,-0.5250000000000001,1.0,-0.975,20.0,3.085,,27.0,82.83,108.15
GDPa1-019,209.6,110.5,65.0,74.0,99.1,65.0,74.0,32.0,34.0,33.0,39.92857142857143,37.0,58.0,37.0,37.0,40.0,5.5,25.0,39.871428571428574,55.0,37.0,65.0,32.0,-0.5,3.0,14.0,14.0,14.0,-8.9,15.0,15.0,15.0,29.0,29.0,2.5,-9.400000000000002,0.5,10.0,5.0,14.0,1.0,3.5,78.41121495327103,6.0,10.0,7.0,4.5,78.59504132231405,3.0,2.5,-3.0,8.0,3.5,-0.95,4.0,1.0,0.5,1.0,5.714285714285714,-1.0,3.0,2.0,0.5,20.0,1.0,2.0,2.0,-1.788888888888889,-1.8875,4.111111111111111,0.0,0.0,0.0,74.0,2.0,1.0,0.5,0.5,2.0,-0.3076923076923076,1.5,0.0,2.0,-0.975,-0.0,-1.8875,20.0,2.79,0.359070212,5.625,84.515,345.31
GDPa1-020,228.5,129.8,65.0,74.0,98.7,65.0,74.0,38.0,37.0,37.0,37.15,40.0,57.0,43.0,43.0,41.0,1.5,27.0,39.16346153846154,53.0,35.0,65.0,28.0,4.5,4.0,17.0,17.0,17.0,-12.6,18.0,18.0,18.0,30.0,30.0,-2.5,-9.500000000000004,6.5,8.0,2.0,13.0,0.0,2.5,77.5925925925926,8.0,8.0,10.0,6.5,81.21951219512195,4.0,2.5,1.0,7.0,0.5555555555555556,-2.966666666666667,3.0,2.0,0.0,0.6666666666666666,4.555555555555555,1.0,1.0,2.0,2.0,19.0,-0.0,1.0,1.0,-2.0444444444444443,1.6,5.0,0.0,0.0,2.0,74.0,0.5,-0.0,0.0,2.0,4.0,1.6,0.0,1.0,1.5,-0.5,-0.0,-2.966666666666667,20.0,2.91,0.21442229,0.625,79.255,301.96
GDPa1-021,206.4,110.5,65.0,74.0,95.9,65.0,74.0,32.0,31.0,32.0,39.31428571428572,38.0,55.0,35.0,35.0,39.0,4.0,27.0,36.42424242424242,55.0,34.0,65.0,29.0,-2.0,1.5,15.0,15.0,15.0,-9.7,14.0,14.0,14.0,28.0,28.0,2.5,-7.900000000000001,1.0,9.0,4.0,11.0,0.0,3.0,77.28971962616822,6.0,10.0,7.0,2.0,78.59649122807018,1.5,2.5,-1.0,7.0,1.5,-1.15,2.0,0.0,-2.0,0.6666666666666666,5.571428571428571,-1.0,1.0,1.0,1.0,20.0,2.0,1.0,1.0,-1.7777777777777777,-1.25,4.75,0.0,0.0,0.0,74.0,0.5,1.0,0.5,1.0,2.0,0.0615384615384614,0.0,0.0,1.0,-0.1874999999999999,-0.0,-1.7777777777777777,20.0,2.7350000000000003,0.0,-1.375,86.50999999999999,257.51
GDPa1-022,224.4,122.2,65.0,74.0,102.2,65.0,74.0,33.0,31.0,32.0,38.263888888888886,38.0,56.0,36.0,36.0,40.0,5.0,24.0,39.02,54.0,41.0,65.0,32.0,-2.0,4.5,16.0,16.0,16.0,-9.900000000000002,17.0,17.0,17.0,28.0,28.0,0.5,-8.300000000000002,4.0,10.0,5.0,15.0,3.0,1.0,77.28971962616822,6.0,9.0,8.0,3.0,78.26446280991735,4.5,0.5,-1.0,7.0,0.5,-1.4833333333333332,2.0,0.0,-1.0,3.0,5.714285714285714,-2.0,2.0,1.0,1.5,20.0,1.0,1.0,1.0,-1.022222222222222,-1.25,4.75,1.0,1.0,1.0,74.0,0.0,2.0,0.5,1.5,2.0,0.3099999999999999,0.0,0.0,1.0,-0.3125,-0.0,-1.4833333333333332,20.0,2.72,0.338173403,14.625,82.03,291.17
GDPa1-023,218.6,115.5,65.0,74.0,103.1,65.0,74.0,34.0,30.0,34.0,39.60714285714285,39.0,52.0,40.0,40.0,41.0,1.5,23.0,36.474747474747474,55.0,42.0,65.0,32.0,-1.5,1.0,14.0,14.0,14.0,-8.300000000000002,18.0,18.0,18.0,30.0,30.0,0.5,-6.199999999999999,0.5,9.0,3.0,11.0,1.0,0.5,78.41121495327103,9.0,8.0,7.0,1.5,80.73170731707317,1.0,0.5,0.0,8.0,0.3333333333333333,0.1833333333333331,5.0,2.0,-1.0,1.0,4.1,-1.0,1.0,1.0,0.5,20.0,1.0,2.0,2.0,-0.9777777777777776,-0.8999999999999999,4.333333333333333,0.0,0.0,1.0,74.0,0.0,1.0,0.0,0.5,3.0,0.1833333333333331,0.0,0.0,1.0,-0.975,-0.0,-1.2923076923076924,20.0,3.1950000000000003,,1.125,85.245,89.39
GDPa1-024,213.8,111.5,66.0,74.0,102.3,66.0,74.0,37.0,30.0,34.0,37.65277777777778,38.0,55.0,39.0,39.0,41.0,5.0,29.0,40.708333333333336,52.0,39.0,66.0,30.0,1.0,4.0,17.0,17.0,17.0,-8.9,16.0,16.0,16.0,31.0,31.0,1.0,-8.300000000000002,3.0,8.0,2.0,12.0,3.0,1.0,78.88888888888889,9.0,9.0,8.0,3.0,80.7563025210084,4.0,1.0,1.0,8.0,1.0,-1.0,3.0,0.0,-1.0,3.0,4.1,0.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,-1.0444444444444445,-0.7875,4.222222222222222,0.0,0.0,2.0,74.0,0.0,-0.0,0.0,1.0,2.0,0.0699999999999999,0.0,0.0,1.0,5.551115123125783e-17,-0.0,-1.2692307692307696,19.0,2.4450000000000003,0.355925294,17.125,84.93,151.33
GDPa1-025,210.3,112.2,68.0,74.0,98.1,68.0,74.0,32.0,30.0,44.0,30.575,48.0,54.0,37.0,37.0,40.0,6.5,23.0,37.58441558441559,50.0,36.0,68.0,30.0,-1.0,4.0,22.0,22.0,22.0,-14.3,15.0,15.0,15.0,29.0,29.0,2.5,-7.000000000000002,1.5,7.0,2.0,11.0,2.0,1.0,75.04504504504504,7.0,8.0,5.0,1.0,79.56521739130434,4.0,2.5,-1.0,6.0,1.0,0.3833333333333333,4.0,1.0,0.0,1.5,5.0,-1.0,1.0,1.0,1.0,20.0,-0.0,1.0,1.0,0.3444444444444444,0.1124999999999999,6.857142857142857,1.0,1.0,0.0,74.0,0.0,1.0,0.0,1.0,2.0,0.3833333333333333,0.0,2.0,1.0,-0.925,-0.0,-0.925,19.0,2.83,0.446444933,26.0,,393.89
GDPa1-026,237.0,127.3,65.0,74.0,109.7,65.0,74.0,35.0,34.0,29.0,34.75454545454546,33.0,54.0,42.0,42.0,39.0,2.0,28.0,35.75,54.0,42.0,65.0,32.0,-2.5,1.5,14.0,14.0,14.0,-7.600000000000001,17.0,17.0,17.0,33.0,33.0,0.5,-6.0,1.0,10.0,6.0,12.0,2.0,0.5,81.21495327102804,8.0,11.0,10.0,3.5,81.03999999999999,1.5,0.5,0.0,9.0,0.2,-0.0999999999999999,5.0,2.0,0.0,1.25,4.333333333333333,0.5,1.0,1.0,-1.0,20.0,1.0,3.0,3.0,-1.7888888888888888,-1.2625000000000002,3.3,1.0,1.0,1.0,74.0,-1.0,1.0,-1.0,0.0,3.0,-0.0899999999999999,1.0,0.0,1.0,-0.35,1.0,-1.7888888888888888,20.0,2.83,,2.625,,116.1
GDPa1-027,228.5,120.9,65.0,75.0,107.6,65.0,75.0,43.0,23.0,34.0,35.375,37.0,55.0,35.0,35.0,46.0,5.5,28.0,38.09090909090909,52.0,39.0,65.0,29.0,0.0,4.5,15.0,15.0,15.0,-8.100000000000003,22.0,22.0,22.0,32.0,32.0,1.0,-10.6,3.5,6.0,3.0,11.0,1.0,4.0,79.0566037735849,12.0,8.0,7.0,3.0,79.91735537190081,4.5,1.0,1.0,7.0,4.0,-0.95,5.0,2.0,1.0,1.0,3.5384615384615383,0.0,1.0,1.0,-2.0,18.0,-0.0,2.0,2.0,-1.0333333333333334,-0.4875,4.625,0.0,0.0,2.0,75.0,0.0,-0.0,0.0,0.0,2.0,0.8,1.0,0.0,1.0,0.8,2.0,-1.0333333333333334,19.0,2.6,0.391114106,20.125,81.66499999999999,212.57
