antibody_id,cdr_pca_0,cdr_pca_1,cdr_pca_2,cdr_pca_3,cdr_pca_4,cdr_pca_5,cdr_pca_6,cdr_pca_7,cdr_pca_8,cdr_pca_9,cdr_pca_10,cdr_pca_11,cdr_pca_12,cdr_pca_13,cdr_pca_14,cdr_pca_15,cdr_pca_16,cdr_pca_17,cdr_pca_18,cdr_pca_19,mi_5_10,mi_5_15,mi_10_15,mi_20_25,mi_20_30,mi_25_30,isotype_confidence,isotype_score_IgG,isotype_score_IgA,isotype_score_IgM,isotype_score_IgE,isotype_score_IgD,predicted_isotype_IgE,combined_hydrophobic_area,vh_hydrophobic_surface_area,vl_min_cys_spacing,vh_min_cys_spacing,vl_hydrophobic_surface_area,vl_avg_cys_spacing,vh_avg_cys_spacing,vh_turn_formers_count,vh_helix_formers_count,vl_turn_formers_count,vl_charge_separation,vl_flexible_residues_count,vh_surface_polar_count,vh_hydrophobic_core_count,vh_core_size,vh_flexible_residues_count,combined_net_charge,vl_helix_formers_count,vh_charge_separation,vl_surface_polar_count,vh_sheet_formers_count,vl_max_cys_spacing,vl_sheet_formers_count,vh_net_charge,vl_high_curvature_regions,vl_helix_breakers_count,vl_sheet_breakers_count,vl_thermal_stability_sum,vh_high_curvature_regions,vh_helix_breakers_count,vh_sheet_breakers_count,vl_hydrophobic_core_count,vl_core_size,vl_net_charge,vh_thermal_stability_sum,vh_vl_charge_balance,vh_negative_charge_count,vh_positive_charge_count,vh_thermal_motif_balance,vl_estimated_tm_contribution,vh_rigid_residues_count,vl_positive_charge_count,vl_negative_charge_count,vh_estimated_tm_contribution,vh_absolute_charge,vl_absolute_charge,vl_rigid_residues_count,full_aromatic_stacking_count,vh_thermolabile_GG_count,vh_thermal_motif_ratio,vh_flexibility_ratio,l1_S_count,vl_thermal_motif_balance,l2_K_count,HIC_delta_G_ML,PR_CHO,AC-SINS_pH7.4_nmol/mg,Tm2_DSF_degC,Titer_g/L
GDPa1-011,1.7251458022952675,0.1434498445356868,-0.3893574138289375,0.0006431599583466663,0.07861191311673021,0.03394414986996074,0.05461790738669358,0.13992385780275665,-0.014186761359755449,0.0017978275317130136,0.09788099963027216,-0.054851344012783444,0.08428115158394194,-0.045799101775261065,-0.014706348047125617,-0.022221653179332588,0.12345057832109448,-0.10376206430020707,0.03867448218549735,-0.04247754605049198,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,216.5,111.9,68.0,74.0,104.6,68.0,74.0,37.0,30.0,44.0,36.10714285714285,47.0,53.0,37.0,37.0,41.0,0.5,22.0,36.42424242424242,53.0,38.0,68.0,29.0,2.0,20.0,20.0,20.0,-14.3,20.0,20.0,20.0,30.0,30.0,-1.5,-11.1,3.5,9.0,11.0,1.0,76.12612612612612,9.0,7.0,8.0,80.0,2.0,1.5,7.0,2.0,1.0,1.0,4.1,2.0,0.0,2.0,2.81,0.166793484,19.0,82.96,261.98
GDPa1-012,0.346433938695564,-0.012314245719216138,0.21113552585668321,-0.1410726608266367,0.2267865571926183,-0.07230077713340147,0.037000330812985635,-0.13141810956010805,0.05539482462967671,0.003971939405481825,0.13490429503768273,0.09207755419266171,0.01770998479884495,-0.025341087032970534,-0.02986292788153955,0.032852369939585756,0.05774769636441828,0.10109213572540963,0.003717160809424925,-0.009992096082517367,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235.4,124.4,66.0,74.0,111.0,66.0,74.0,32.0,30.0,32.0,37.83950617283951,36.0,52.0,39.0,39.0,35.0,0.5,30.0,41.15151515151515,52.0,40.0,66.0,30.0,0.5,16.0,16.0,16.0,-7.300000000000002,16.0,16.0,16.0,33.0,33.0,0.0,-6.6,0.5,11.0,12.0,3.0,79.44444444444444,8.0,9.0,9.0,81.45299145299145,0.5,0.0,7.0,3.0,0.0,3.0,3.888888888888889,3.0,1.0,0.0,2.4800000000000004,,-0.875,83.41499999999999,92.11
GDPa1-013,1.7150315815567734,0.1533258444990628,-0.5852059501585788,-0.0071296126708657115,0.02239667954189387,-0.031055011476483523,0.06148307396496168,-0.08970197434988922,0.20567716621851678,-0.05846262169280828,-0.020588171843085964,0.007766657695662022,-0.0625515666318942,-0.07249868520617025,0.005942382647872615,-0.016534644740555594,-0.05752391272337746,0.03057488118455595,0.014270144419543626,0.1338465856081637,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229.2,130.1,69.0,73.0,99.1,69.0,73.0,37.0,28.0,36.0,39.603305785123965,39.0,47.0,42.0,42.0,40.0,0.5,28.0,34.25,58.0,41.0,69.0,30.0,1.0,16.0,16.0,16.0,-13.000000000000004,18.0,18.0,18.0,30.0,30.0,-0.5,-5.1,1.5,8.0,9.0,0.0,78.10810810810811,6.0,11.0,11.0,80.50847457627118,1.0,0.5,8.0,5.0,3.0,0.8,5.714285714285714,1.0,-1.0,2.0,2.7350000000000003,0.0,1.0,,301.96
GDPa1-014,-1.101121729892842,0.10379532252970511,-0.2513401258002225,-0.07190414518739759,0.04756004518834089,-0.044525758323305284,0.022882973536328385,-0.11873554778495886,-0.0004634510210841922,-0.18136561159742112,-0.019126672420225276,-0.08746197208602617,0.2069632253871568,-0.06065428705829488,-0.02866145599978452,0.1136485531518102,0.0004257529587484015,-0.055748497829906984,-0.050657210819417445,-0.047484216330258344,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227.4,117.8,65.0,74.0,109.6,65.0,74.0,35.0,30.0,30.0,40.523809523809526,34.0,49.0,41.0,41.0,39.0,2.5,28.0,37.48484848484848,51.0,38.0,65.0,32.0,1.0,14.0,14.0,14.0,-5.7,19.0,19.0,19.0,33.0,33.0,1.5,-6.9,0.5,9.0,11.0,0.0,79.90654205607476,10.0,9.0,7.0,82.3728813559322,1.0,1.5,7.0,3.0,4.0,0.8,3.5454545454545454,1.0,1.0,2.0,3.755,0.0,8.5,85.575,319.37
GDPa1-015,1.7258867465769248,0.13969572230046676,-0.3941465569944216,-0.006725226500557561,0.07385955636936932,0.04629229381951248,0.0676933602903247,0.08008090176618349,0.09258738191999147,-0.019391681045187584,0.2558002134552624,0.1288998294309157,0.026387152869436537,-0.008289008241521977,-0.0022253223693533023,0.0012089285635776747,-0.034384146338338625,-0.06162464399354101,-0.016191505640574186,0.05747401567441356,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234.7,140.8,68.0,74.0,93.9,68.0,74.0,34.0,26.0,43.0,28.25,49.0,51.0,43.0,43.0,42.0,3.5,22.0,36.4,57.0,43.0,68.0,28.0,2.0,17.0,17.0,17.0,-13.4,17.0,17.0,17.0,27.0,27.0,1.5,-4.1000000000000005,0.5,8.0,10.0,-1.0,74.18181818181819,6.0,8.0,6.0,80.33333333333333,2.0,1.5,6.0,3.0,3.0,0.6,6.0,2.0,1.0,2.0,3.115,0.060415292,2.625,83.34,359.69
GDPa1-016,1.7805701848744644,-0.026644230916170797,0.06226062695200963,-0.09994855934124784,-0.12743746688899615,-0.36958377500583073,-0.26731729813538185,0.03200217089743411,0.10656590913638832,-0.11678363677330778,0.04346228826668792,0.012982641994898403,-0.01590230868061438,-0.022981687942079387,-0.04124554905083319,0.017742723466518506,-0.03218677158498517,0.02218932227469602,-0.1124678658952015,-0.05548074954275363,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,232.1,112.8,70.0,74.0,119.3,70.0,74.0,40.0,27.0,35.0,36.621212121212125,35.0,55.0,35.0,35.0,45.0,3.0,25.0,35.675925925925924,54.0,38.0,70.0,35.0,2.5,19.0,19.0,19.0,-11.5,18.0,18.0,18.0,33.0,33.0,0.5,-10.7,2.0,9.0,12.0,-1.0,80.89285714285714,5.0,12.0,11.0,76.72268907563026,2.5,0.5,10.0,3.0,3.0,0.6666666666666666,7.5,2.0,1.0,0.0,2.46,,-0.875,85.13,168.63
GDPa1-017,-1.064636348840463,-0.09524064183988974,0.37491471628753187,-0.16726181994323241,0.054625600446584564,0.12952798009343175,-0.35162663370717295,0.03427417521225057,0.15025121228686375,0.2663169533475991,0.04334910746945493,-0.2837773039025137,-0.12442594072351047,-0.16133408308525468,0.03243950259731144,0.02971035589035183,-0.0761187083009721,-0.05031887004638353,0.06647946376755766,-0.03134916476291497,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,182.5,103.4,64.0,74.0,79.1,64.0,74.0,31.0,33.0,35.0,33.56060606060606,40.0,55.0,36.0,36.0,38.0,7.5,29.0,37.875,54.0,37.0,64.0,26.0,3.0,14.0,14.0,14.0,-10.4,14.0,14.0,14.0,27.0,27.0,4.5,-6.699999999999999,1.5,8.0,12.0,4.0,76.73076923076923,7.0,11.0,6.0,79.40170940170941,3.0,4.5,7.0,5.0,0.0,4.0,4.75,3.0,0.0,1.0,2.635,,22.125,81.96,126.74
GDPa1-018,-1.0845285399434257,0.05121102014514419,-0.22186540441972674,-0.030505511851979583,-0.24992303807794747,-0.19807119189869637,-0.28548337189344525,0.016210114650043298,-0.003642075794837648,0.09851749890875106,0.0823204601191501,-0.007109836662560455,0.0116684358191278,0.04214716176210792,0.09644607852002714,0.031486575925651544,-0.009902903453678183,-0.07005480901395908,0.004273324069225377,0.05500726104590431,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,208.8,101.4,65.0,74.0,107.4,65.0,74.0,35.0,31.0,37.0,35.43434343434343,39.0,58.0,33.0,33.0,41.0,0.5,23.0,36.82857142857143,56.0,38.0,65.0,31.0,2.5,14.0,14.0,14.0,-10.3,16.0,16.0,16.0,30.0,30.0,-2.0,-11.0,4.5,10.0,14.0,3.0,77.28971962616822,7.0,9.0,11.0,77.66666666666666,2.5,2.0,6.0,5.0,1.0,2.0,5.125,0.0,3.0,1.0,3.085,,27.0,82.83,108.15
GDPa1-019,-1.1005774023602364,0.10149750643604691,-0.2501997452976275,-0.02102776077693659,0.06401689826519877,-0.09756221910789155,0.03559088460053862,0.06370918370897373,-0.07563538186303259,0.012689456563457536,0.14476996842784973,0.017257837886778142,7.766700316904928e-05,0.054138185184703654,0.010144348960693066,-0.06549476247419846,-0.060696987904529966,0.04931527518029075,-0.04015959389553879,0.03738917020635112,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209.6,110.5,65.0,74.0,99.1,65.0,74.0,32.0,34.0,33.0,39.92857142857143,37.0,58.0,37.0,37.0,40.0,5.5,25.0,39.871428571428574,55.0,37.0,65.0,32.0,3.0,14.0,14.0,14.0,-8.9,15.0,15.0,15.0,29.0,29.0,2.5,-9.400000000000002,0.5,10.0,14.0,1.0,78.41121495327103,6.0,10.0,7.0,78.59504132231405,3.0,2.5,8.0,4.0,1.0,1.0,5.714285714285714,1.0,2.0,2.0,2.79,0.359070212,5.625,84.515,345.31
GDPa1-020,-1.0487523063616921,-0.06795310667371553,0.3887873409803684,-0.05023084280387542,-0.16008176312972647,0.09418142581347093,0.36764479858966387,0.10320888096274378,-0.10084172907422817,0.09633795481799184,0.05939005927898854,-0.06122775023579158,0.003969898228253098,0.02310236753938253,0.06744294010043991,0.0162123292102766,-0.10786159057957245,0.06299768743374638,0.031116296128131028,-0.1304423258095914,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228.5,129.8,65.0,74.0,98.7,65.0,74.0,38.0,37.0,37.0,37.15,40.0,57.0,43.0,43.0,41.0,1.5,27.0,39.16346153846154,53.0,35.0,65.0,28.0,4.0,17.0,17.0,17.0,-12.6,18.0,18.0,18.0,30.0,30.0,-2.5,-9.500000000000004,6.5,8.0,13.0,0.0,77.5925925925926,8.0,8.0,10.0,81.21951219512195,4.0,2.5,7.0,3.0,2.0,0.6666666666666666,4.555555555555555,2.0,2.0,0.0,2.91,0.21442229,0.625,79.255,301.96
GDPa1-021,-1.7989671048294047,-1.0932929735955514,-0.2339612769604359,0.3281584809313651,0.20868108857381898,0.11006900936390636,0.016297878556351994,0.004454493608892971,0.02079658054118987,0.01564567734942716,0.020715166480368204,0.12736331081199426,-0.08036849975279863,0.03034357182368585,-0.023485912436601288,0.07104118637806406,-0.0440625076246285,0.011145935286394699,-0.024779603113506157,-0.03705539312576151,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,206.4,110.5,65.0,74.0,95.9,65.0,74.0,32.0,31.0,32.0,39.31428571428572,38.0,55.0,35.0,35.0,39.0,4.0,27.0,36.42424242424242,55.0,34.0,65.0,29.0,1.5,15.0,15.0,15.0,-9.7,14.0,14.0,14.0,28.0,28.0,2.5,-7.900000000000001,1.0,9.0,11.0,0.0,77.28971962616822,6.0,10.0,7.0,78.59649122807018,1.5,2.5,7.0,2.0,0.0,0.6666666666666666,5.571428571428571,1.0,1.0,2.0,2.7350000000000003,0.0,-1.375,86.50999999999999,257.51
GDPa1-022,-1.105704910695192,0.15238410889351953,-0.6333759252751497,0.06983852035052901,-0.38970764599681823,-0.26206988547658505,0.06567421898528486,0.17850575129271906,-0.007916328659353518,-0.03131557566093098,-0.09560925477260876,-0.016197150073950697,0.06102850813642866,0.22496834539577154,0.02396605857103325,-0.0015609267521617322,0.03356687378748869,-0.08151044746720411,-0.07431059572645797,0.04292320049578622,0.2753404683978537,0.6878245979181922,0.5575603546747868,0.000848159205339,0.0793195880563385,0.0115093100536744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224.4,122.2,65.0,74.0,102.2,65.0,74.0,33.0,31.0,32.0,38.263888888888886,38.0,56.0,36.0,36.0,40.0,5.0,24.0,39.02,54.0,41.0,65.0,32.0,4.5,16.0,16.0,16.0,-9.900000000000002,17.0,17.0,17.0,28.0,28.0,0.5,-8.300000000000002,4.0,10.0,15.0,3.0,77.28971962616822,6.0,9.0,8.0,78.26446280991735,4.5,0.5,7.0,2.0,0.0,3.0,5.714285714285714,0.0,1.0,2.0,2.72,0.338173403,14.625,82.03,291.17
